# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u'
# Event count (approx.): 65150674632
#
# Overhead  Command          Symbol                                                                                                   Shared Object                      IPC   [IPC Coverage]
# ........  ...............  .......................................................................................................  .................................  ....................
#
     0.10%  mali-cmar-backe  [.] 0x000000000009b9a0                                                                                   libc.so.6                          -      -            
     0.09%  mgs2_sse_rg353v  [.] __clock_gettime64                                                                                    libc.so.6                          -      -            
     0.09%  wined3d_cs       [.] pthread_mutex_unlock                                                                                 libc.so.6                          -      -            
     0.09%  mgs2_sse_rg353v  [.] getDB                                                                                                box86                              -      -            
     0.09%  mgs2_sse_rg353v  [.] 0x00000000f787b5cc                                                                                   [JIT] tid 52726                    -      -            
     0.09%  mali-cmar-backe  [.] 0x000000000122521e                                                                                   libmali.so.1.10.0                  -      -            
     0.09%  mgs2_sse_rg353v  [.] 0x000000006fc24228                                                                                   [JIT] tid 52726                    -      -            
     0.09%  wined3d_cs       [.] 0x00000000745cb340                                                                                   [JIT] tid 52726                    -      -            
     0.09%  wine_dmsynth_si  [.] 0x000000006fd736fc                                                                                   [JIT] tid 52726                    -      -            
     0.08%  mali-cmar-backe  [.] 0x0000000001225206                                                                                   libmali.so.1.10.0                  -      -            
     0.08%  wined3d_cs       [.] 0x0000000072999d98                                                                                   [JIT] tid 52726                    -      -            
     0.08%  wine_dmsynth_si  [.] 0x000000006fd72eb4                                                                                   [JIT] tid 52726                    -      -            
     0.08%  mgs2_sse_rg353v  [.] my_clock_gettime                                                                                     box86                              -      -            
     0.08%  mgs2_sse_rg353v  [.] 0x000000007eed918c                                                                                   [JIT] tid 52726                    -      -            
     0.08%  wine_dmsynth_si  [.] 0x000000006fd7439c                                                                                   [JIT] tid 52726                    -      -            
     0.08%  wined3d_cs       [.] 0x00000000012198e2                                                                                   libmali.so.1.10.0                  -      -            
     0.08%  wine_dmsynth_si  [.] 0x000000006fd72d24                                                                                   [JIT] tid 52726                    -      -            
     0.08%  wine_dmsynth_si  [.] 0x000000006fd74504                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd7433c                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd744a4                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dsound_mix  [.] 0x000000006fd29c5c                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd739c4                                                                                   [JIT] tid 52726                    -      -            
     0.07%  mali-cmar-backe  [.] 0x00000000011fd3c0                                                                                   libmali.so.1.10.0                  -      -            
     0.07%  wined3d_cs       [.] glUniformMatrix4fv                                                                                   libmali.so.1.10.0                  -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd7397c                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd73808                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wined3d_cs       [.] 0x00000000001edefc                                                                                   libmali.so.1.10.0                  -      -            
     0.07%  mgs2_sse_rg353v  [.] 0x000000006e03963c                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wined3d_cs       [.] 0x00000000f79cdd40                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd72d14                                                                                   [JIT] tid 52726                    -      -            
     0.07%  mgs2_sse_rg353v  [.] GetSegmentBaseEmu                                                                                    box86                              -      -            
     0.07%  wine_dmsynth_si  [.] 0x000000006fd74bdc                                                                                   [JIT] tid 52726                    -      -            
     0.07%  data-loop.0      [.] 0x000000000003e0b0                                                                                   libspa-audioconvert.so             -      -            
     0.07%  mgs2_sse_rg353v  [k] 0xffffffdafdb15c80                                                                                   [unknown]                          -      -            
     0.07%  mgs2_sse_rg353v  [.] 0x000000006e0396c0                                                                                   [JIT] tid 52726                    -      -            
     0.07%  mgs2_sse_rg353v  [.] 0x000000007465a8b0                                                                                   [JIT] tid 52726                    -      -            
     0.07%  mgs2_sse_rg353v  [.] 0x000000006e15a8c0                                                                                   [JIT] tid 52726                    -      -            
     0.07%  wined3d_cs       [.] 0x00000000011e812c                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wined3d_cs       [.] 0x00000000001e9d04                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wined3d_cs       [.] glVertexAttribPointer                                                                                libmali.so.1.10.0                  -      -            
     0.06%  mali-cmar-backe  [.] 0x00000000011fd054                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wined3d_cs       [.] 0x000000000009c5cc                                                                                   libc.so.6                          -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd735d0                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd74bcc                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x00000000f79cdc24                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd7362c                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x00000000001e97b8                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wined3d_cs       [.] glBindBuffer                                                                                         libmali.so.1.10.0                  -      -            
     0.06%  mgs2_sse_rg353v  [.] 0x000000006e02af64                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x000000000023ca06                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wined3d_cs       [.] 0x000000006fc46330                                                                                   [JIT] tid 52726                    -      -            
     0.06%  mgs2_sse_rg353v  [.] 0x00000000f787b788                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x000000000122733c                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd73830                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd72ef4                                                                                   [JIT] tid 52726                    -      -            
     0.06%  mgs2_sse_rg353v  [.] 0x00000000f7892684                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x000000000120a6b6                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd74540                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x0000000072953ac4                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd74560                                                                                   [JIT] tid 52726                    -      -            
     0.06%  wined3d_cs       [.] 0x00000000001f1f10                                                                                   libmali.so.1.10.0                  -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd7394c                                                                                   [JIT] tid 52726                    -      -            
     0.06%  mgs2_sse_rg353v  [.] atan2f32x                                                                                            libm.so.6                          -      -            
     0.06%  wine_dmsynth_si  [.] 0x000000006fd739d8                                                                                   [JIT] tid 52726                    -      -            
     0.06%  mgs2_sse_rg353v  [.] 0x000000006e03b7b4                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mali-cmar-backe  [.] 0x000000000009ba1c                                                                                   libc.so.6                          -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000006e026660                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x00000000f7854254                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd743a8                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] UpdateFlags                                                                                          box86                              -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd74390                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd72d1c                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd73958                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] memchr                                                                                               libc.so.6                          -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd713b4                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x000000006fdafe80                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmsynth_si  [.] 0x000000006fd72ea0                                                                                   [JIT] tid 52726                    -      -            
     0.05%  mgs2_sse_rg353v  [.] 0x00000000727fc108                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x00000000744ec414                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wine_dmime_mess  [.] 0x00000000f7892684                                                                                   [JIT] tid 52726                    -      -            
     0.05%  wined3d_cs       [.] 0x000000007299edb8                                                                                   [JIT] tid 52726                    -      -            
