# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 20K of event 'cycles:u'
# Event count (approx.): 65150674632
#
# Overhead  Command          Symbol                                                                                                   Shared Object                      IPC   [IPC Coverage]
# ........  ...............  .......................................................................................................  .................................  ....................
#
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072842700                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd74b20                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f788254c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000f781ae00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [k] 0xffffffdafe9f0554                                                                                   [unknown]                          -      -            
     0.01%  data-loop.0      [.] 0x000000000003e018                                                                                   libspa-audioconvert.so             -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f787b800                                                                                   [JIT] tid 52726                    -      -            
     0.01%  data-loop.0      [.] 0x000000000003e024                                                                                   libspa-audioconvert.so             -      -            
     0.01%  wine_dsound_mix  [.] pthread_mutex_lock                                                                                   libc.so.6                          -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728093c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000f787834c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6fcfc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007eed2790                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7805134                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x00000000014f6900                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x000000006e1e49f8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072801a40                                                                                   [JIT] tid 52726                    -      -            
     0.01%  data-loop.0      [.] snd_pcm_format_physical_width                                                                        libasound.so.2.0.0                 -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072857260                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd72820                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072806198                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001b06fe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd72f34                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072948b88                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e11cf1c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] div32                                                                                                box86                              -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f784ffec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120fe80                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7892644                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007efc8a00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fdaf584                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007284230c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f78814a0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7881480                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6fb24                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7852ac8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd744ec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc75aa0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072898018                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072996484                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072883300                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dinput_wor  [.] 0x000000007f007e18                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc75190                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000009bba4                                                                                   libc.so.6                          -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072837704                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007c88e240                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd1df04                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd1e030                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd71968                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000745cf554                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd5f924                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6f3a0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072837ac8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072897a6c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd71e14                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000728374b0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072888248                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e220                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd73744                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728979b8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011ee4c4                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f78529fc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006c58ce9c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0a2684                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000020e1e0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7897854                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd7384c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006c582904                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072948930                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007292a280                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd713e8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7802d78                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6ffdc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120fa80                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e16f9a4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7978230                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000072999584                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd72d34                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd74340                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007f0adb80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007297ffb8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd2d748                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072808ac0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x000000007c88d5bc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072863708                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd52370                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728977a0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7978270                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e14472c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmime_mess  [.] 0x00000000728dc138                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000074613698                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmime_mess  [.] 0x000000007283b900                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072842b74                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd64f80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7878424                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc2037c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072898620                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072923bd8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007280324c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007c88d584                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x0000000001225226                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd64ed4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e00a2f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007285b850                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000f78962d0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728857e8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011eb9fa                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f78783cc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0e2e20                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007280732c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728978f8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc034c8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728a3714                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x0000000001207c00                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7850360                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e14a3f4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728a01c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd1de6c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000144a6e0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000001310fa0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6f998                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000000227f68                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072879c8c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728060f8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006e1708ec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007f010ccc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007289d988                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000745cec34                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006e178924                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000121afbe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc46978                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f79275c4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299b19c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f5e4c                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072857008                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072879a98                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007c7ec000                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f05f2                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072895378                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dinput_wor  [.] 0x00000000727f4088                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072804ac0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072879ca4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd2b9b8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd739ec                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000001205532                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728888e0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f2084                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e175fc0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fdaf4b4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6f318                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd757f0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000728976b4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6fee4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e1d0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120c7d6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd71940                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] memcpy@plt                                                                                           box86                              -      -            
     0.01%  wined3d_cs       [.] 0x00000000002307ee                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072879dd0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007f010440                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7850000                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000148f3d8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e11fb28                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd61ac4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007289c2e0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6569c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072808e00                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728014b0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7850080                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc4667c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd74ae0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007eed1830                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299ede4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011f5116                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000000131651a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000128fa20                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7978278                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e1453c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072916968                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001e7972                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x0000000072806210                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc067c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007eed2804                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000728042e4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000120ec8a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x00000000001f1c1e                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x0000000000231202                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f797825c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745c9800                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e164960                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] Run0F                                                                                                box86                              -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd61a68                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000007287ecc0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc46644                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd5c938                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd73678                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000072908e50                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000132f368                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wined3d_cs       [.] 0x000000007299e738                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] clock_gettime                                                                                        libc.so.6                          -      -            
     0.01%  wined3d_cs       [.] 0x00000000011e818a                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd5e0e8                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006e0208c4                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd6f830                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000007299817c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc03480                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007eed8c44                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd736cc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000074669928                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] internalDBGetBlock.isra.0                                                                            box86                              -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd61140                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x00000000011fd4d6                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd72a94                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc02c5c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000000020d526                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000f7882a40                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x0000000072842e80                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000011ef2a8                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc7539c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fc39a24                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000746213b0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f78a4090                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000006fd1dde0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x00000000728ac4dc                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x000000006fc02c68                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000745178c0                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x0000000074631388                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000002368a0                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dmsynth_si  [.] 0x000000006fd7237c                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x0000000074613584                                                                                   [JIT] tid 52726                    -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000009b9c4                                                                                   libc.so.6                          -      -            
     0.01%  mali-cmar-backe  [.] 0x0000000001290a00                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mali-cmar-backe  [.] 0x000000000132fb44                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  wine_dsound_mix  [.] 0x00000000f79cdc60                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wine_dmsynth_si  [.] 0x00000000f7978238                                                                                   [JIT] tid 52726                    -      -            
     0.01%  wined3d_cs       [.] 0x00000000001efefe                                                                                   libmali.so.1.10.0                  -      -            
     0.01%  mgs2_sse_rg353v  [.] 0x000000007293a180                                                                                   [JIT] tid 52726                    -      -            
