# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 9K of event 'cycles:u'
# Event count (approx.): 29967404716
#
# Overhead  Symbol                               Shared Object                     IPC   [IPC Coverage]
# ........  ...................................  ................................  ....................
#
     0.09%  [.] 0x00000000f73f8788               [JIT] tid 45815                   -      -            
     0.09%  [.] 0x000000006e485940               [JIT] tid 45815                   -      -            
     0.08%  [.] getAlignedMutexWithInit          box86                             -      -            
     0.08%  [.] 0x00000000729fd000               [JIT] tid 45815                   -      -            
     0.08%  [.] 0x000000006fb499f0               [JIT] tid 45815                   -      -            
     0.08%  [.] 0x0000000072a616a0               [JIT] tid 45815                   -      -            
     0.08%  [k] 0xffffffdafdb0ea10               [unknown]                         -      -            
     0.08%  [.] 0x000000000144a664               libmali.so.1.10.0                 -      -            
     0.08%  [.] 0x00000000f73cf0f8               [JIT] tid 45815                   -      -            
     0.08%  [.] 0x0000000000003c5c               libasound_module_pcm_pipewire.so  -      -            
     0.08%  [.] 0x000000000009c4fc               libc.so.6                         -      -            
     0.08%  [.] memchr                           libc.so.6                         -      -            
     0.08%  [.] free                             box86                             -      -            
     0.08%  [.] 0x00000000f74dc100               [JIT] tid 45815                   -      -            
     0.08%  [.] 0x000000000120f2b6               libmali.so.1.10.0                 -      -            
     0.08%  [.] 0x00000000001b3952               libmali.so.1.10.0                 -      -            
     0.08%  [.] glActiveShaderProgram            libmali.so.1.10.0                 -      -            
     0.08%  [.] 0x00000000f73f85cc               [JIT] tid 45815                   -      -            
     0.08%  [.] 0x00000000001b0d7e               libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x000000006e487088               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x000000000009ba1c               libc.so.6                         -      -            
     0.07%  [.] 0x0000000074684d9c               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x000000006fb7d9a4               [JIT] tid 45815                   -      -            
     0.07%  [k] 0xffffffdafe576f30               [unknown]                         -      -            
     0.07%  [.] 0x0000000072a56f98               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x00000000f73f534c               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x000000006fcd51a4               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x000000006e475248               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x00000000001f1f10               libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x0000000072a00194               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x00000000001ed340               libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x0000000072a61a04               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x000000006e4861fc               [JIT] tid 45815                   -      -            
     0.07%  [k] 0xffffffdafdb0ea00               [unknown]                         -      -            
     0.07%  [.] 0x000000006fb1c49c               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x00000000001edeee               libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x00000000001e9d16               libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x00000000745f6e40               [JIT] tid 45815                   -      -            
     0.07%  [.] glDisable                        libmali.so.1.10.0                 -      -            
     0.07%  [.] 0x000000006e4868d8               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x00000000f73f8270               [JIT] tid 45815                   -      -            
     0.07%  [.] 0x0000000072a6e35c               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000001223874               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x000000006fb7d1cc               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006e485bd8               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000072a60e84               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006e486574               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x00000000f73f87fc               [JIT] tid 45815                   -      -            
     0.06%  [k] 0xffffffdafdb1bddc               [unknown]                         -      -            
     0.06%  [.] 0x000000000132fa14               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x00000000f73f8830               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000001324860               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x00000000f73fe8d0               [JIT] tid 45815                   -      -            
     0.06%  [k] 0xffffffdafdb15ca4               [unknown]                         -      -            
     0.06%  [.] 0x00000000f73f8784               [JIT] tid 45815                   -      -            
     0.06%  [.] __aeabi_d2lz                     box86                             -      -            
     0.06%  [.] 0x0000000072a02648               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006e490458               [JIT] tid 45815                   -      -            
     0.06%  [.] iFip                             box86                             -      -            
     0.06%  [.] 0x0000000072a180c0               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x00000000745d7e38               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000072a3257c               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x00000000729fc8c8               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006e491cec               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006fb16dc4               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000072a2e740               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x00000000001e980e               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x000000006e4863c8               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x000000006fb185f8               [JIT] tid 45815                   -      -            
     0.06%  [k] 0xffffffdafdb1bde8               [unknown]                         -      -            
     0.06%  [.] 0x00000000012261ce               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x00000000012198e0               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x0000000072a58054               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x0000000072a6e38c               [JIT] tid 45815                   -      -            
     0.06%  [.] 0x00000000001e97b8               libmali.so.1.10.0                 -      -            
     0.06%  [.] 0x00000000745e392c               [JIT] tid 45815                   -      -            
     0.06%  [k] 0xffffffdafdb15ce4               [unknown]                         -      -            
     0.06%  [k] 0xffffffdafdb15ccc               [unknown]                         -      -            
     0.05%  [.] 0x0000000072a21358               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000744d5284               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000001e9d04               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x000000006fb16f00               [JIT] tid 45815                   -      -            
     0.05%  [.] glUniformMatrix4fv               libmali.so.1.10.0                 -      -            
     0.05%  [.] strnlen                          libc.so.6                         -      -            
     0.05%  [.] 0x000000006e48bb80               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000000003e08c               libspa-audioconvert.so            -      -            
     0.05%  [.] 0x00000000f754acdc               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000000132629e               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x00000000011f05f2               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x0000000001291540               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x00000000f73d12cc               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a6d63c               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000000003e0ac               libspa-audioconvert.so            -      -            
     0.05%  [k] 0xffffffdafdb1d990               [unknown]                         -      -            
     0.05%  [.] __aeabi_l2f                      box86                             -      -            
     0.05%  [.] 0x0000000074684dd8               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a60d34               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000000121afac               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x0000000072a61d3c               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000006fcdc28c               [JIT] tid 45815                   -      -            
     0.05%  [k] 0xffffffdafdb1d9c8               [unknown]                         -      -            
     0.05%  [.] 0x0000000072a6935c               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000007eeda530               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a61708               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a5bb20               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000f73d1260               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a02638               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000f7401ea4               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000006fb7da64               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a61824               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a63da8               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000006fc3b560               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000f73f8488               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x0000000072a60efc               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000f73f8668               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x00000000011e82e8               libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x00000000002284fe               libmali.so.1.10.0                 -      -            
     0.05%  [.] glVertexAttribPointer            libmali.so.1.10.0                 -      -            
     0.05%  [.] 0x000000006fb19e6c               [JIT] tid 45815                   -      -            
     0.05%  [.] 0x000000006fc3b008               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb15b0c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000001326278               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000006e485c64               [JIT] tid 45815                   -      -            
     0.04%  [.] pFu                              box86                             -      -            
     0.04%  [.] 0x0000000000227f2c               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x00000000014f6748               libmali.so.1.10.0                 -      -            
     0.04%  [.] __aeabi_f2lz@plt                 libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x0000000072a95814               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000001324858               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000000009a290               libc.so.6                         -      -            
     0.04%  [.] 0x0000000072a69680               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a618c4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb00a14               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb1d658               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb00a94               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb261e8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000007efd3ee4               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f754ad40               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a5f788               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000072a02530               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006e48ca24               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000006fb162c8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000001203866               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000000132f2ae               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000006e491fd8               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x0000000074601f78               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000f74f588c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x000000000009a270               libc.so.6                         -      -            
     0.04%  [.] 0x0000000001453800               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x00000000011fdf10               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x0000000000508f38               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000006fb16f88               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000745d9e8c               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000001eed2c               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x0000000074601eac               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000745da8cc               [JIT] tid 45815                   -      -            
     0.04%  [.] 0x00000000001f1f90               libmali.so.1.10.0                 -      -            
     0.04%  [.] 0x000000006fb70728               [JIT] tid 45815                   -      -            
